CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,cohesiveness_clustering,civic_volunteering
"Phoenix-Mesa-Chandler, AZ",West,4941206,3.319027783905387,7.253289986290797,0.0090652442504466,0.1617911453211491,0.7467651481633029,0.07897888312551304,0.04885495294251924
"Pittsburgh, PA",Northeast,2443921,0.9329270463325126,4.656451661080697,0.2583245784176868,0.0766127067520701,0.8867526316822524,0.1040777432600923,0.06931879133237026
"Portland-Vancouver-Hillsboro, OR-WA",West,2510529,2.039410817401432,4.054922289286441,0.1132106365944467,0.1092761285888224,0.9446427695420092,0.08665283262299751,0.09235248593448407
"Port St. Lucie, FL",South,506701,2.091963505104588,4.697050134102755,0.010774490256168,0.251556526027813,0.7093945309984627,0.0866304211913285,0.06595165284426088
"Providence-Warwick, RI-MA",Northeast,1673807,1.0395463754184324,2.282222502355409,0.3083903120416147,0.115571070047106,0.8648615381795786,0.09567628051601469,0.05896853727110843
"Provo-Orem-Lehi, UT",West,695895,0.8772359778615072,0.6035393270536503,0.0388460054033191,0.0849141258201466,1.2176835261095997,0.07645248674586123,0.0696481710787046
"Raleigh-Cary, NC",South,1449594,1.8211995910579095,3.8355567145007496,0.0250506152855666,0.1365290141622983,0.8477883001793753,0.08803245486894687,0.06165396787850752
"Reno, NV",West,556539,2.659292520380423,5.426394196992484,0.0227607254825322,0.1423938262467672,0.8057921256038925,0.08520264345232417,0.07475803818496508
"Richmond, VA",South,1327321,2.1396482086850126,9.327058036450866,0.0879284145344289,0.1533999711406394,0.8580336741302157,0.09282509142824864,0.07251372056126819
"Riverside-San Bernardino-Ontario, CA",West,4637725,3.751839533391911,6.257378348220302,0.0283902495782185,0.2125659258202763,0.7421918319872004,0.08038307943967235,0.03932379984785422
"Rochester, NY",Northeast,1058875,1.548813599338921,6.270806280250265,0.266639779160232,0.1093792120567479,0.7639610700753008,0.09770470549716574,0.06563676625289475
"Sacramento-Roseville-Folsom, CA",West,2406563,3.340864128634904,4.396311253850408,0.0424290170782001,0.1634960080368001,0.8751737454104876,0.08630707428100028,0.06776184311426875
"St. Louis, MO-IL",Midwest,2809414,2.235341605046462,14.579552888965456,0.1607736755268657,0.1112239447099584,0.8504042575431243,0.09330025929673387,0.09289905158306477
"Salt Lake City-Murray, UT",West,1261337,1.63318764136785,3.520074333821968,0.0715716427168406,0.1129755505013956,0.9686465284984697,0.07909308593460737,0.07784431464211333
"San Antonio-New Braunfels, TX",South,2612802,3.0541923957498502,7.432633624744623,0.0401383929604293,0.1389482289248613,0.7473599083704255,0.08042364901081153,0.04847108585214434
"San Diego-Chula Vista-Carlsbad, CA",West,3282782,2.778131475072058,3.1680446645558553,0.0407026560385359,0.1859984668795194,0.90846002,0.084210001,0.05587
"San Francisco-Oakland-Fremont, CA",West,4653593,1.749186059030087,5.46244589932983,0.1953805208353984,0.1062450201498067,1.0173186155750413,0.08630135675603529,0.06742098895710132
"San Jose-Sunnyvale-Santa Clara, CA",West,1969353,2.112368884603218,2.4170374737286813,0.0479748191278423,0.1174976857872377,1.1482790895048889,0.08970975637085288,0.054259496381026395
"Scranton--Wilkes-Barre, PA",Northeast,567887,1.796131976960205,2.5709340062371564,0.3304797959701837,0.0805925353281567,0.8033249839367888,0.10308881068200083,0.062227664067933626
"Seattle-Tacoma-Bellevue, WA",West,4021467,1.7754714883896845,4.824110206549003,0.096531985390949,0.1374821563510904,1.0670223747241068,0.08598695658578157,0.07694732568079782
"Spokane-Spokane Valley, WA",West,591793,2.0615316504250645,4.021676498370207,0.1367630108521814,0.0942117710871723,0.8653352662355996,0.08816188544016756,0.07574885787072971
"Stockton-Lodi, CA",West,787416,3.174941835065582,9.575624574557796,0.0695957574388885,0.1423960190946399,0.72867,0.086479999,0.03596
