COG ID,Length (Mi),Functional Class,Route,Location,Speed,Lanes,Average Weekday Traffic 2018,Average Weekday Traffic 2019,Average Weekday Traffic 2020,Average Annual Daily Traffic 2018,Average Annual Daily Traffic 2019,Average Annual Daily Traffic 2020,AWDT21,AWDT22,ADT21,ADT22,VMT,VHT,VHD
26600,0.26899999,Urban Minor Arterial,YALE, NORTH OF SUNPORT LOOP - SOUTH OF RANDOLPH,35,4,6303,6287,4743,5944,5883,4434,5618,5691,5252,5321,1431,52,16
25839,0.48300001,Urban Major Collector,CHICO,EAST OF EUBANK -WEST OF MORRIS,35,2,9949,9924,7487,9071,9011,6695,8869,8985,7931,8035,3880,129,30
25965,0.377,Urban Major Collector,MORRIS,NORTH OF CENTRAL - SOUTH OF CHICO,30,2,2142,2136,1612,1953,1940,1442,1910,1935,1708,1730,652,27,7
21270,0.108,Urban Principal Arterial,EUBANK,NORTH OF DEL REY - SOUTH OF  SAN RAFEL,40,4,17800,18195,13692,16788,16938,12647,16330,17084,15084,15781,1704,47,9
20547,0.094,Urban Principal Arterial,EUBANK,NORTH OF DEL REY - SOUTH OF CORONADO AVE.,40,2,16330,17115,12590,15402,15932,11630,14919,16011,13856,14815,1393,38,7
20012,0.368,Urban Major Collector,TENNYSON, NORTH OF LIVE OAK RD - SOUTH OF CEDAR HILL RD,35,2,979,1001,753,893,909,673,898,939,803,840,309,11,3
20009,0.099,Urban Major Collector,TENNYSON,NORTH OF DEL REY - SOUTH OF SAN RAFAEL,30,2,1009,1031,776,920,936,694,926,969,828,866,86,4,1
20010,0.30199999,Urban Major Collector,TENNYSON, NORTH OF SAN RAFAEL - SOUTH OF TRAMWAY TERRACE,30,2,324,331,249,295,301,223,297,311,266,278,84,3,1
22669,0.109,Urban Minor Collector,SAN RAFAEL,EAST OF TENNYSON -WEST OF TRAMWAY,25,2,1926,1969,1482,1756,1788,1325,1768,1850,1580,1653,180,7,1
20604,0.368,Urban Principal Arterial,TRAMWAY, SOUTH OF CEDAR HILL - NORTH OF LIVE OAK,50,4,11691,11951,8994,11026,11125,8307,8670,9070,8052,8392,3088,67,11
20536,0.333,Urban Principal Arterial,TRAMWAY, SOUTH OF TRAMWAY LANE - NORTH OF CEDAR HILL,50,4,9185,9389,6188,8663,8740,5716,6334,6626,5883,6131,2042,44,7
20013,0.36399999,Urban Major Collector,TENNYSON, NORTH OF CEDAR HILL RD - SOUTH OF MODESTO,30,2,284,295,222,258,268,198,259,271,236,247,90,4,1
21220,0.991,Urban Principal Arterial,OSUNA, EAST OF EDITH - WEST OF CHAPPEL ROAD,45,4,17753,19226,13468,16744,17898,12440,17306,17864,16073,16529,16380,486,159
22666,0.50099999,Urban Minor Collector,SAN RAFAEL,EAST OF EUBANK - WEST OF BROWNING,25,2,218,223,146,199,202,131,149,156,136,141,71,3,1
22668,1,Urban Minor Collector,SAN RAFAEL,EAST OF BROWNING - WEST OF TENNYSON,25,2,274,280,211,250,254,189,252,264,225,235,234,9,2
20761,0.50300002,Urban Principal Arterial,PASEO DEL NORTE,EAST OF BROWNING - WEST OF LOWELL,55,4,15667,16015,12052,14776,14908,11132,15435,16148,14335,14941,7515,157,32
20005,0.31099999,Urban Principal Arterial,LOUISIANA, NORTH OF AMERICAS PKWY N. - SOUTH OF MENAUL,35,8,29691,29617,21410,28003,27571,19776,24624,24594,22869,22756,7077,243,66
23416,0.058,Urban Principal Arterial,LOUISIANA, NORTH OF UPTOWN - SOUTH OF AMERICAS PKWY N.,35,6,40384,40284,30391,38088,37501,28071,30364,30761,28200,28462,1651,57,16
20004,0.139,Urban Major Collector,AMERICAS PKWY, EAST OF CORONADO ENT. - WEST OF LOUISIANA (NORTH),25,4,5599,5585,4213,5105,5071,3767,4991,5056,4462,4520,628,29,7
20006,0.164,Urban Minor Arterial,INDIAN SCHOOL, EAST OF AMERICAS PKWY - WEST OF LOUISIANA,35,4,9562,9538,7195,9017,8925,6726,8625,8738,8066,8246,1353,44,9
23536,0.38299999,Urban Minor Arterial,INDIAN SCHOOL, EAST OF SAN PEDRO - WEST OF AMERICAS PKWY,35,4,9681,9657,7109,9130,9037,6646,8213,8320,7680,7852,3007,97,20
20002,0.13,Urban Major Collector,AMERICAS PKWY, NORTH OF INDIAN SCHOOL - SOUTH OF UPTOWN BLVD.,25,4,3075,3067,2287,2804,2785,2045,2677,2712,2441,2459,320,16,4
20001,0.29800001,Urban Major Collector,AMERICAS PKWY, WEST OF LOUISIANA (SOUTH) - SOUTH OF INDIAN SCHOOL,25,4,4312,4301,3245,3931,3905,2902,3844,3894,3438,3483,1038,48,11
20003,0.095,Urban Major Collector,AMERICAS PKWY, NORTH OF UPTOWN BLVD. - SOUTHWEST OF CORONADO ENT.,30,4,2406,2400,1811,2194,2179,1619,2145,2173,1918,1943,184,8,2
26015,0.122,Urban Major Collector,GIRARD,NORTH OF GARFIELD - SOUTH OF COAL,30,2,5199,5214,3946,4809,4823,3528,4674,4735,4179,4234,514,18,2
21864,0.49900001,Urban Major Collector,ATRISCO (57TH ST.), NORTH OF ST. JOSEPHS - SOUTH OF WESTERN TRAIL,35,2,8820,9082,7235,8042,8246,6469,8511,7519,7610,6817,3402,120,32
22080,0.45100001,Urban Major Collector,ATRISCO (57TH ST.), NORTH OF SEQUOIA - SOUTH OF ST. JOSEPHS,40,3,18652,19205,15299,17006,17438,13680,8814,8927,8036,8093,3650,112,30
21860,0.28200001,Urban Minor Arterial,ST. JOSEPHS (EAST), EAST OF ATRISCO (N.) - WEST OF COORS,35,2,8233,8477,8823,7764,7932,8249,6748,9972,6310,9411,2654,85,17
22067,0.175,Urban Minor Arterial,LADERA DRIVE, NORTH OF ST. JOSEPHS - WEST OF ATRISCO,40,4,7996,8233,6559,7541,7704,6132,7715,7814,7213,7305,1278,34,2
22068,0.433,Urban Minor Arterial,LADERA DRIVE, NORTH OF SEQUOIA - SOUTH OF ST. JOSEPHS,35,4,6272,6190,5880,5915,5792,5497,6729,7548,6293,7123,3084,81,4
22100,0.177,Urban Major Collector,SEQUOIA, EAST OF ATRISCO - WEST OF COORS,30,4,7163,7376,5876,6531,6697,5254,6912,7000,6180,6259,1108,43,10
22084,0.198,Urban Major Collector,SEQUOIA, EAST OF LADERA - WEST OF ATRISCO,30,4,4762,4903,3906,4342,4452,3493,4595,4654,4109,4162,824,32,7
28592,0.67299998,Urban Principal Arterial,UNSER BLVD.,NORTH OF BOB MCCANNON - SOUTH OF ST. JOSEPHS,45,4,28002,28833,21614,26410,26841,19965,22598,25846,20988,23915,16095,335,2
20234,0.88099998,Urban Minor Collector,ST. JOSEPHS (WEST),S.E. OF UNSER - N.W. OF LADERA,25,2,1990,2162,1723,1814,1964,1540,1162,1177,1059,1073,946,38,7
21064,0.66399997,Urban Minor Arterial,4TH STREET, NORTH OF OSUNA - SOUTH OF PUEBLO SOLANO,35,4,13975,14066,9853,13179,13162,9212,11573,12083,10823,11403,7572,264,75
21138,0.54699999,Urban Principal Arterial,2ND STREET, NORTH OF PUEBLO SALANO - SOUTH OF RANCHITOS ROAD,45,4,22395,22362,15789,21122,21373,14584,19313,20164,17937,18657,10205,260,56
10086,0.465,Urban Major Collector,TARPON,N.W. OF BRAVO - SOUTH OF 5TH ST.,25,2,2020,2080,1657,1842,1889,1482,1949,1974,1743,1765,821,40,11
10200,0.113,Urban Major Collector,TARPON,N.W. OF 5TH ST. - S.E. OF LISBON,25,2,2028,2053,1635,1849,1864,1462,1923,1948,1753,1775,201,9,2
10045,0.60699999,Urban Minor Collector,WESTERN HILLS,NORTHEAST OF STAGECOACH - SOUTHEAST OF SPRING RD.,25,2,3006,3095,2466,2741,2810,2205,2901,2938,2594,2627,1594,64,12
10050,0.53600001,Urban Local,SPRING RD.,EAST OF UNSER BLVD. - S.W. OF WESTERN HILLS,25,2,1812,1866,1487,1674,1724,1330,1749,1771,1564,1584,849,44,14
10049,0.95099998,Urban Major Collector,ABRAZO,EAST OF UNSER NORTH - SW OF CHESSMAN,25,2,1994,2516,2004,1818,2284,1792,2357,2387,2149,2176,2070,96,22
10070,0.50999999,Urban Principal Arterial,UNSER BLVD.,NORTH OF BERN/SAND C.L. - SOUTH OF 19TH AVE.,45,4,40933,42147,33576,38606,39235,31013,39496,30929,36481,28618,14596,382,89
10078,0.56999999,Urban Principal Arterial,UNSER BLVD.,NORTH OF CABEZON - SOUTH OF SOUTHERN,55,4,35672,38742,30863,33644,36065,28507,36304,33716,33717,31197,17782,381,89
18591,0.52999997,Urban Minor Arterial,LOMA LARGA,N. OF OLD BERN/SAND C.L. - SOUTH OF MEADOW LARK,30,2,6741,8781,6995,6357,8217,6540,8228,8333,7694,7792,4129,168,47
10135,0.94099998,Urban Major Collector,19TH AVE., EAST OF GOLF COURSE - WEST OF N.M. 528,25,2,3800,3914,2912,3465,3553,2604,3426,3470,3123,3146,2959,137,32
20320,1.38,Urban Major Collector,IRVING,  EAST OF UNSER - WEST OF GOLF COURSE,35,2,10253,10428,8453,9486,9649,7558,9943,10070,8891,9005,0,0,0
20377,0.76999998,Urban Minor Arterial,UNIVERSE,NORTH OF PARADISE BLVD. - SOUTH OF IRVING,35,4,16375,16567,13198,15442,15503,12339,15525,13329,14518,12579,9686,338,96
20555,0.49700001,Urban Major Collector,IRVING,EAST OF RAINBOW - WEST OF UNIVERSE,35,2,6119,6301,5192,5579,5721,4642,6310,6391,5753,5794,2880,96,22
20235,0.51099998,Urban Major Collector,IRVING,EAST OF UNIVERSE - WEST OF KEYENA BLVD.,25,2,3529,4003,3189,3218,3635,2851,3751,3799,3420,3464,1770,82,19
20440,0.226,Urban Interstate Frontage,PAN AM. WEST,NORTH OF BALLOON FIESTA PKWY-SOUTH OF TRAMWAY INTCH. ON RAMP,45,1,3181,3252,2212,2900,2953,1978,2831,3031,2531,2709,612,14,3
20446,0.39899999,Urban Interstate Frontage,PAN AM. WEST,NORTH OF SAN DIEGO - SOUTH OF BALLOON FIESTA PKWY,45,2,3043,3111,2116,2774,2825,1892,2708,2899,2421,2592,1034,23,4
